log time,GPS hour,GPS minute,GPS seconds,GPS latitude,GPS longitude,GPS angle,GPS speed,exterior temperature,interior temperature,BMP pressure (mb),BMP pressure (inHG),BMP altitude,CCS eCO2,CCS TVOC,Acceleration X,Acceleration Y,Acceleration Z,Magnetic X,Magnetic Y,Magnetic Z,Gyro X,Gyro Y,Gyro Z,
3000,0,0,0,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,0.00,0.00,nan,0,0,-1.29,0.04,10.14,-0.03,0.42,-0.35,0.01,0.35,-1.14,
6000,7,6,54,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,400,0,-1.17,0.03,9.94,-0.02,0.41,-0.34,0.15,0.32,-1.10,
9000,7,6,56,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,400,0,-1.18,0.04,10.03,-0.03,0.43,-0.35,-0.08,-0.10,-1.41,
12000,7,6,58,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,400,0,-1.20,0.08,10.17,-0.02,0.41,-0.36,0.08,-0.24,-1.19,
15000,7,6,59,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,400,0,-1.25,0.09,10.05,-0.02,0.42,-0.35,-0.15,0.28,-1.11,
18000,7,7,1,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,548,22,-1.22,0.07,10.20,-0.02,0.42,-0.36,0.20,0.17,-1.23,
21000,7,7,2,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,712,47,-1.24,0.07,10.08,-0.01,0.42,-0.36,0.15,0.39,-1.14,
24000,7,7,4,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,454,8,-1.24,0.05,10.02,-0.02,0.42,-0.35,0.19,0.24,-1.03,
27000,7,7,5,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,400,0,-1.21,0.08,10.11,-0.02,0.42,-0.35,0.06,-0.39,-1.25,
30000,7,7,7,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,420,3,-1.23,0.08,10.18,-0.02,0.42,-0.35,0.37,0.46,-1.08,
33000,7,7,8,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,439,5,-1.23,0.10,10.07,-0.02,0.42,-0.35,0.00,0.21,-1.07,
36000,7,7,10,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,400,0,-1.18,0.07,10.16,-0.02,0.42,-0.35,-0.07,0.25,-1.08,
39000,7,7,11,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,400,0,-1.20,0.09,10.09,-0.02,0.42,-0.35,-0.16,0.04,-0.99,
42000,7,7,13,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,427,4,-1.22,0.07,10.12,-0.03,0.41,-0.35,0.16,0.02,-1.07,
45000,7,7,14,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,448,7,-1.20,0.06,9.81,-0.02,0.42,-0.35,-0.03,0.14,-1.51,
48000,7,7,16,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,400,0,-1.21,0.08,10.10,-0.02,0.43,-0.34,-0.11,0.13,-1.31,
51000,7,7,17,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,410,1,-1.07,0.06,10.06,-0.03,0.42,-0.36,0.11,0.34,-1.06,
