log time,GPS hour,GPS minute,GPS seconds,GPS latitude,GPS longitude,GPS angle,GPS speed,exterior temperature,interior temperature,BMP pressure (mb),BMP pressure (inHG),BMP altitude,CCS eCO2,CCS TVOC,Acceleration X,Acceleration Y,Acceleration Z,Magnetic X,Magnetic Y,Magnetic Z,Gyro X,Gyro Y,Gyro Z,
3000,0,0,0,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,0,0,0.20,-1.04,10.30,0.09,0.63,-0.38,0.69,0.61,0.53,
6000,23,59,46,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,0.20,-1.00,10.20,0.09,0.64,-0.37,0.76,0.52,0.52,
9000,23,59,48,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,0.16,-0.99,10.28,0.10,0.64,-0.37,0.92,0.56,0.38,
12000,23,59,49,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,0.22,-1.02,10.26,0.10,0.63,-0.37,1.01,0.55,0.46,
15000,23,59,51,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,413,1,0.43,-0.67,9.86,0.09,0.63,-0.38,5.58,1.45,1.13,
18000,23,59,52,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,0.13,-0.99,10.39,0.11,0.63,-0.35,0.99,0.44,0.07,
21000,15,13,50,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.31,nan,nan,nan,400,0,0.20,-1.02,10.22,0.11,0.62,-0.34,0.79,0.43,0.45,
24000,15,13,52,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.31,nan,nan,nan,400,0,0.14,-0.95,10.29,0.09,0.62,-0.36,1.59,1.15,0.56,
27000,15,13,53,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,0.10,-0.97,10.36,0.08,0.62,-0.37,-2.16,-0.59,-0.06,
30000,15,13,54,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,478,11,0.03,-1.08,10.60,0.07,0.64,-0.38,6.20,1.43,0.67,
33000,15,13,56,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,0.02,-1.21,10.22,0.09,0.63,-0.35,2.07,0.31,0.72,
